name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
DR. OSWAL'S G THERAPY CENTER,"Health and Medicine, Center for Life Sciences, Clover Pinnacle Ridge, NIBM Rd, Kondhwa, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJYWXFp2XAwjsRqu4dq52LxBU,18.4699448,73.8992019,"Health and Medicine, Center for Life Sciences, Clover Pinnacle Ridge, NIBM Rd, Kondhwa, Pune, Maharashtra 411048, India",4.8,288,False,"['Monday: 10:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: Closed']",077570 71179,https://www.autismtreatmentindia.com/,True,0.65,3751.945116191532,1,1,2026-04-07T23:21:20.509575
"Oasis Institute of Health Sciences and Research Centre, Pune","2nd & 3rd floor VTP urban Nest ,Near undri chowk on Katraj – Hadapsar Bypass Road, Undri Chowk ,Pune - 411060 Address – 2nd & 3rd floor VTP urban Nest ,Near chowk , on Katraj – Hadapsar Bypass Road, Chowk, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General Practice,doctor,ChIJ25rJfJ_qwjsR4FMLvgHcMY4,18.4495193,73.91358149999999,"2nd & 3rd floor VTP urban Nest ,Near undri chowk on Katraj – Hadapsar Bypass Road, Undri Chowk ,Pune - 411060 Address – 2nd & 3rd floor VTP urban Nest ,Near chowk , on Katraj – Hadapsar Bypass Road, Chowk, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",4.0,109,False,"['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']",,https://www.oasiscollege.in/,True,0.55,2329.0854175145273,0,1,2026-04-07T23:21:20.638508
NIRVANA HOSPITAL,"Rahi Complex, Bus Stop, Main Chowk, behind Last PMT, Atur Nagar, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJ7bjJ-zbqwjsRrLHu0Qa3TsE,18.4509304,73.9157939,"Rahi Complex, Bus Stop, Main Chowk, behind Last PMT, Atur Nagar, Undri, Pune, Maharashtra 411060, India",4.1,15,False,"['Monday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']",099223 60790,,True,0.6,2609.260584807767,1,0,2026-04-07T23:21:20.787692
Aarya Nursing Home,"Mauli Nagar, Katraj - Kondhwa Rd, Vighnaharta Nagar, Katraj, Pune, Maharashtra 411046, India",General Practice,doctor,ChIJAYDgrufqwjsRFAnnaMIcG5A,18.4475863,73.8678978,"Mauli Nagar, Katraj - Kondhwa Rd, Vighnaharta Nagar, Katraj, Pune, Maharashtra 411046, India",4.6,14,False,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:00\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:00\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:00\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:00\u2009–\u20098:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:00\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:00\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",094031 89048,,True,0.6,3262.755062429617,1,0,2026-04-07T23:21:20.927831
RAINBOW CHILD CARE,"Shop no.4 First floor, Mandot tower, Gangadham - Shatrunjay Rd, opposite Shri Shanti Nagar Society, Kasat Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJNSIcfvLqwjsR57T5AHFPEeo,18.4600556,73.8775036,"Shop no.4 First floor, Mandot tower, Gangadham - Shatrunjay Rd, opposite Shri Shanti Nagar Society, Kasat Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.7,26,False,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20097:00\u202fPM', 'Sunday: 9:00\u2009–\u200911:00\u202fAM']",080 4482 6177,https://www.apollo247.com/hospital/7339949a-18c0-43cd-b397-95dff3fa748f,True,0.65,3312.044645496221,1,1,2026-04-07T23:21:21.064408
Dr Chandani Life Line Hospital,"City Tower Estate, NIBM Galli Number 2, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJc92lqWPqwjsRdZkMQpKbWBk,18.472305,73.892389,"City Tower Estate, NIBM Galli Number 2, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",4.5,2,False,[],,,True,0.5,4026.013311930955,0,0,2026-04-07T23:21:21.182041
Lifeline Hospital,"NIBM Rd, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJIQmFqWPqwjsRuXnsadelEN0,18.4723448,73.8924104,"NIBM Rd, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",3.5,122,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",082370 35055,,True,0.7999999999999999,4030.1744370226497,1,0,2026-04-07T23:21:21.311008
Sai Sneh Hospital,"Pune - Satara Rd, opp. PMT Bus Depot, Katraj Vasahat, Katraj, Pune, Maharashtra 411046, India",General Practice,doctor,ChIJJQvHns7qwjsRy0LYlr8F78U,18.4463945,73.8596512,"Pune - Satara Rd, opp. PMT Bus Depot, Katraj Vasahat, Katraj, Pune, Maharashtra 411046, India",4.7,424,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",088881 50101,https://www.saisnehhospital.com/,True,0.85,4040.7296819134067,1,1,2026-04-07T23:21:21.427961
Sana Hospital | Dr Suhel Khan | Robotic Joint Replacement | Orthopedic Surgeon,"13, NIBM Galli Number 2, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJ9WFL5GLqwjsRe2JTFBhUCls,18.4733471,73.8913772,"13, NIBM Galli Number 2, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",3.9,232,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",077987 93456,https://www.sanahospitalpune.com/,True,0.85,4153.647474411748,1,1,2026-04-07T23:21:21.559086
Vedant Medical,"only on this no, shop no. 2, contact 7219085669, Jadhav Moore Complex, Autadwadi Handewadi, Pandhari Nagar, Handewadi, Pune, Maharashtra 412308, India",General,establishment,ChIJB_txKCbqwjsRQyYmJ5jfQ6A,18.4560041,73.9321602,"only on this no, shop no. 2, contact 7219085669, Jadhav Moore Complex, Autadwadi Handewadi, Pandhari Nagar, Handewadi, Pune, Maharashtra 412308, India",5.0,1,False,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']",,,True,0.5,4357.3437140146025,0,0,2026-04-07T23:21:21.676473
Om Hospital in pune,"FVFM+VRJ, Lane No 6, Bhagyoday Nagar, Shivneri Nagar, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJ68UFoIjqwjsR2BckvA06eWQ,18.4747126,73.88451189999999,"FVFM+VRJ, Lane No 6, Bhagyoday Nagar, Shivneri Nagar, Kondhwa, Pune, Maharashtra 411048, India",4.1,15,False,"['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Sunday: Closed']",,http://omhospitalpune.in/,True,0.55,4452.649613567847,0,1,2026-04-07T23:21:21.798401
Health Care Clinic,"Sumshree, E2-e3, N I B M Road, Guru Nanak Nagar, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJjxaB_WXqwjsRvtt6vihpUBM,18.4779276,73.8920997,"Sumshree, E2-e3, N I B M Road, Guru Nanak Nagar, Kondhwa, Pune, Maharashtra 411048, India",0.0,0,False,[],094223 65451,,True,0.6,4651.054977757829,1,0,2026-04-07T23:21:21.913759
Shishu Moh Clinic,"1st floor, Yash Towers, main, Kondhwa Main Rd, opposite dominos pizza, Guru Nanak Nagar, Mayfair Eleganza Phase II, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJAVgKxH_qwjsRbugGnY6gsxI,18.4791653,73.8909661,"1st floor, Yash Towers, main, Kondhwa Main Rd, opposite dominos pizza, Guru Nanak Nagar, Mayfair Eleganza Phase II, Kondhwa, Pune, Maharashtra 411048, India",3.3,38,False,"['Monday: 9:00\u2009–\u200911:00\u202fAM, 5:00\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u2009–\u200911:00\u202fAM, 5:00\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u2009–\u200911:00\u202fAM, 5:00\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u2009–\u200911:00\u202fAM, 5:00\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u2009–\u200911:00\u202fAM, 5:00\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u2009–\u200911:00\u202fAM, 5:00\u2009–\u20097:00\u202fPM', 'Sunday: Closed']",090750 83386,,True,0.6,4800.964691765342,1,0,2026-04-07T23:21:22.027902
"Satyanand Multispeciality Hospital & Elderly Care, Pune","Main Road, opp. Konark Indrayu Mall, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJq6qqbmLqwjsRq-Xm96wwBcs,18.4708289,73.88874489999999,"Main Road, opp. Konark Indrayu Mall, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048, India",4.7,1123,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",086001 46624,http://www.satyanandhospital.com/,True,0.85,3924.1200442669733,1,1,2026-04-07T23:21:22.137082
"Dr Pandkar's (PhD) ""Prana Ayurveda""","56/1, Chintamani Nagar, Bibwewadi, Pune, Maharashtra 411037, India",General,establishment,ChIJix-W5L3qwjsRx0OBCwwQHIA,18.467602,73.864671,"56/1, Chintamani Nagar, Bibwewadi, Pune, Maharashtra 411037, India",4.9,43,False,"['Monday: 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: 5:00\u2009–\u20099:00\u202fPM', 'Wednesday: 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 5:00\u2009–\u20099:00\u202fPM', 'Friday: 5:00\u2009–\u20099:00\u202fPM', 'Saturday: 5:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",,,True,0.5,4832.016367866863,0,0,2026-04-07T23:21:22.282219
Bharati Vidyapeeth Dental College,"Pune – Satara Road Katraj, Katraj - Ambegaon BK Rd, Bharati Vidyapeeth Campus, Dhankawadi, Pune, Maharashtra 411043, India",General,establishment,ChIJJy4pNsbqwjsRszkyTjOe0Uo,18.4571667,73.8553143,"Pune – Satara Road Katraj, Katraj - Ambegaon BK Rd, Bharati Vidyapeeth Campus, Dhankawadi, Pune, Maharashtra 411043, India",3.8,144,False,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",020 2437 3266,http://dchpune.bharatividyapeeth.edu/,True,0.65,4920.368494845626,1,1,2026-04-07T23:21:22.421720
Dr Kakade's Dental Clinic,"2nd, SHOP, 207, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General Practice,dentist,ChIJ99bUhjDrwjsR3DYYquJFU4s,18.4391355,73.89509369999999,"2nd, SHOP, 207, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",5.0,90,False,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:00\u202fPM']",095296 83522,https://kuula.co/share/collection/7XHHW?logo=1&info=1&fs=1&vr=0&sd=1&thumbs=1,True,0.65,345.89502169980545,1,1,2026-04-07T23:21:22.551439
Kondhwa Hospital Gate,"CVQW+Q4V, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJs2p2HgDrwjsRASV5u7oZkOg,18.4394918,73.8952905,"CVQW+Q4V, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",0.0,0,False,[],,,True,0.5,375.0317668564672,0,0,2026-04-07T23:21:22.646540
Dr Bandorawalla Government Leprosy Hospital,"CVQX+P8J, Yewalewadi, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJYWXFp2XAwjsR-UDw9_SFGzo,18.4393295,73.8982564,"CVQX+P8J, Yewalewadi, Kondhwa, Pune, Maharashtra 411048, India",3.8,16,False,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: Closed', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",020 2693 0876,,True,0.6,386.60486520912957,1,0,2026-04-07T23:21:22.757335
Mahesh Medical,"Shop Number 2,Shree Datta Niwas,Patil Wasti,Yewalewa, opposite Bhairavnath Mandir, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJ_2Q5wYrqwjsR_QxIs94fctY,18.435522,73.89206999999999,"Shop Number 2,Shree Datta Niwas,Patil Wasti,Yewalewa, opposite Bhairavnath Mandir, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",5.0,2,True,"['Monday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200911:30\u202fPM']",,,True,0.7,470.24888430515267,0,0,2026-04-07T23:21:22.869940
Hospital buildings N I N,"CWQ2+WH4, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJaYfVl13rwjsRTx3Va8wLtVg,18.4400397,73.90026379999999,"CWQ2+WH4, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.9,12,False,[],,,True,0.5,578.215303341967,0,0,2026-04-07T23:21:22.975613
Vishwa poly clinic,"Yewalewadi Rd, near sinhagad college bus stop, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJy8TqPRfrwjsRHQvON8DLKKg,18.4427166,73.893794,"Yewalewadi Rd, near sinhagad college bus stop, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.8,110,False,"['Monday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200910:00\u202fPM']",098816 55870,,True,0.6,766.17541270802,1,0,2026-04-07T23:21:23.105500
Dr. Sheetal Barkade,"Yewalewadi Rd, near Sinhgad College Bus Stop, Kondhwa Budruk, Pune, Maharashtra 411048, India",General Practice,doctor,ChIJVwFa6KTrwjsR-M-9e6kplxg,18.4433843,73.8916783,"Yewalewadi Rd, near Sinhgad College Bus Stop, Kondhwa Budruk, Pune, Maharashtra 411048, India",5.0,2,False,[],,https://drsheetalbarkade.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu,True,0.55,934.5211626089473,0,1,2026-04-07T23:21:23.221947
"Smt Kashibai Navale College and General Hospital, Urban Health Training Centre (UHTC,Kondhwa)","CVVV+Q93, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJkdyiftHrwjsR9aYyqx58VBI,18.4443851,73.8934288,"CVVV+Q93, Kondhwa Budruk, Pune, Maharashtra 411048, India",0.0,0,True,"['Monday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Tuesday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Wednesday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Thursday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Friday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Saturday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Sunday: Closed']",,,True,0.7,953.4743999144059,0,0,2026-04-07T23:21:23.324049
Janlok Medicals,"CVVV+VCX, Saswad Road, Yewalewadi, Danny Mehata Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJQcAbbQDrwjsRj9CNvueKUAk,18.4447368,73.89360540000001,"CVVV+VCX, Saswad Road, Yewalewadi, Danny Mehata Nagar, Kondhwa Budruk, Pune, Maharashtra 411048, India",5.0,2,False,[],,,True,0.5,984.5788790235151,0,0,2026-04-07T23:21:23.734756
