name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
"Oasis Institute of Health Sciences and Research Centre, Pune","2nd & 3rd floor VTP urban Nest ,Near undri chowk on Katraj – Hadapsar Bypass Road, Undri Chowk ,Pune - 411060 Address – 2nd & 3rd floor VTP urban Nest ,Near chowk , on Katraj – Hadapsar Bypass Road, Chowk, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General Practice,doctor,ChIJ25rJfJ_qwjsR4FMLvgHcMY4,18.4495193,73.91358149999999,"2nd & 3rd floor VTP urban Nest ,Near undri chowk on Katraj – Hadapsar Bypass Road, Undri Chowk ,Pune - 411060 Address – 2nd & 3rd floor VTP urban Nest ,Near chowk , on Katraj – Hadapsar Bypass Road, Chowk, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",4.0,109,True,"['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']",,https://www.oasiscollege.in/,True,0.75,3251.0678421433386,0,1,2026-04-08T12:54:43.643876
NIRVANA HOSPITAL,"Rahi Complex, Bus Stop, Main Chowk, behind Last PMT, Atur Nagar, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJ7bjJ-zbqwjsRrLHu0Qa3TsE,18.4509304,73.9157939,"Rahi Complex, Bus Stop, Main Chowk, behind Last PMT, Atur Nagar, Undri, Pune, Maharashtra 411060, India",4.1,15,True,"['Monday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']",099223 60790,,True,0.7999999999999999,3458.0992040303427,1,0,2026-04-08T12:54:43.900626
Vedant Medical,"only on this no, shop no. 2, contact 7219085669, Jadhav Moore Complex, Autadwadi Handewadi, Pandhari Nagar, Handewadi, Pune, Maharashtra 412308, India",General,establishment,ChIJB_txKCbqwjsRQyYmJ5jfQ6A,18.4560041,73.9321602,"only on this no, shop no. 2, contact 7219085669, Jadhav Moore Complex, Autadwadi Handewadi, Pandhari Nagar, Handewadi, Pune, Maharashtra 412308, India",5.0,1,True,"['Monday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20098:00\u202fPM']",,,True,0.7,4704.671226455759,0,0,2026-04-08T12:54:44.186730
Gurudatta health Corner Medical,"CWQ5+8PQ, Pisoli, Pune, Maharashtra 411060, India",General,establishment,ChIJV44VegDrwjsRBQ237K06qy8,18.4383362,73.9093554,"CWQ5+8PQ, Pisoli, Pune, Maharashtra 411060, India",0.0,0,True,"['Monday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200911:00\u202fPM']",,,True,0.7,1950.9713032791838,0,0,2026-04-08T12:54:44.394243
Banka Hospital,"CWQ5+HMJ, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJByNMSADrwjsRDv9N_f1geY8,18.4389681,73.90914099999999,"CWQ5+HMJ, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",5.0,1,False,[],,https://www.bankainfracon.com/,True,0.55,2018.4449232632219,0,1,2026-04-08T12:54:44.869957
Hospital buildings N I N,"CWQ2+WH4, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJaYfVl13rwjsRTx3Va8wLtVg,18.4400397,73.90026379999999,"CWQ2+WH4, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.9,12,False,[],,,True,0.5,2252.0518746174785,0,0,2026-04-08T12:54:45.172986
Dr Bandorawalla Government Leprosy Hospital,"CVQX+P8J, Yewalewadi, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJYWXFp2XAwjsR-UDw9_SFGzo,18.4393295,73.8982564,"CVQX+P8J, Yewalewadi, Kondhwa, Pune, Maharashtra 411048, India",3.8,16,True,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: Closed', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",020 2693 0876,,True,0.7999999999999999,2258.141107230419,1,0,2026-04-08T12:54:45.422987
Mahesh Medical,"Shop Number 2,Shree Datta Niwas,Patil Wasti,Yewalewa, opposite Bhairavnath Mandir, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJ_2Q5wYrqwjsR_QxIs94fctY,18.435522,73.89206999999999,"Shop Number 2,Shree Datta Niwas,Patil Wasti,Yewalewa, opposite Bhairavnath Mandir, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",5.0,2,True,"['Monday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200911:30\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200911:30\u202fPM']",,,True,0.7,2282.2949282390396,0,0,2026-04-08T12:54:45.661141
Shree sai Clinic,"Shop no-1, Devraj Residency, Wadachi Wadi Rd, near Rims International School, Wadachi Wadi, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJP1c1sCvrwjsRXC5Xspp2QLk,18.4390694,73.91841389999999,"Shop no-1, Devraj Residency, Wadachi Wadi Rd, near Rims International School, Wadachi Wadi, Undri, Pune, Maharashtra 411060, India",5.0,1,True,"['Monday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 9:30\u202fAM\u2009–\u200910:00\u202fPM']",070571 17228,,True,0.7999999999999999,2337.784412544388,1,0,2026-04-08T12:54:45.916748
Dr Kakade's Dental Clinic,"2nd, SHOP, 207, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General Practice,dentist,ChIJ99bUhjDrwjsR3DYYquJFU4s,18.4391355,73.89509369999999,"2nd, SHOP, 207, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",5.0,90,True,"['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20092:00\u202fPM']",095296 83522,https://kuula.co/share/collection/7XHHW?logo=1&info=1&fs=1&vr=0&sd=1&thumbs=1,True,0.85,2399.200309146508,1,1,2026-04-08T12:54:46.136333
