name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
Banka Hospital,"CWQ5+HMJ, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJByNMSADrwjsRDv9N_f1geY8,18.4389681,73.90914099999999,"CWQ5+HMJ, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",5.0,1,False,[],,https://www.bankainfracon.com/,True,0.55,2018.4449232632219,0,1,2026-04-08T12:54:44.869957
Hospital buildings N I N,"CWQ2+WH4, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJaYfVl13rwjsRTx3Va8wLtVg,18.4400397,73.90026379999999,"CWQ2+WH4, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",4.9,12,False,[],,,True,0.5,2252.0518746174785,0,0,2026-04-08T12:54:45.172986
Dr Bandorawalla Government Leprosy Hospital,"CVQX+P8J, Yewalewadi, Kondhwa, Pune, Maharashtra 411048, India",General,establishment,ChIJYWXFp2XAwjsR-UDw9_SFGzo,18.4393295,73.8982564,"CVQX+P8J, Yewalewadi, Kondhwa, Pune, Maharashtra 411048, India",3.8,16,True,"['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: Closed', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",020 2693 0876,,True,0.7999999999999999,2258.141107230419,1,0,2026-04-08T12:54:45.422987
Kondhwa Hospital Gate,"CVQW+Q4V, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJs2p2HgDrwjsRASV5u7oZkOg,18.4394918,73.8952905,"CVQW+Q4V, Yewalewadi, Kondhwa Budruk, Pune, Maharashtra 411048, India",0.0,0,False,[],,,True,0.5,2421.88278592328,0,0,2026-04-08T12:54:46.550258
Vinnayak Spine Hospital | Robotic Spine Super Speciality Hospital in Maharashtra | Spine Specialist in Pune,"kanade mala, 52/1, Jagdamba Bhawan Marg, near Little heart society, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General Practice,doctor,ChIJCWvPOgDrwjsRqKrh3m7SOrg,18.4438943,73.9135146,"kanade mala, 52/1, Jagdamba Bhawan Marg, near Little heart society, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",4.5,385,True,"['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']",075759 97575,http://spinespecialistpune.com/,True,0.85,2640.257306831197,1,1,2026-04-08T12:54:48.101390
Gupta House & Hospital,"survey no 56/6, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJCT7JmrnrwjsR_p84s6aSRfA,18.4452249,73.9130842,"survey no 56/6, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",5.0,1,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,,True,0.7,2773.3438714567596,0,0,2026-04-08T12:54:48.337950
"Smt Kashibai Navale College and General Hospital, Urban Health Training Centre (UHTC,Kondhwa)","CVVV+Q93, Kondhwa Budruk, Pune, Maharashtra 411048, India",General,establishment,ChIJkdyiftHrwjsR9aYyqx58VBI,18.4443851,73.8934288,"CVVV+Q93, Kondhwa Budruk, Pune, Maharashtra 411048, India",0.0,0,True,"['Monday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Tuesday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Wednesday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Thursday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Friday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Saturday: 9:30\u202fAM\u2009–\u20094:00\u202fAM', 'Sunday: Closed']",,,True,0.7,2990.8414902706004,0,0,2026-04-08T12:54:51.103598
SHIVMANGAL MULTISPECIALITY HOSPITAL,"1st Floor, Bandal Empire, Wadachi Wadi Rd, near Aero Nest Society, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",General Practice,doctor,ChIJj1hhuofrwjsRuSMuue545qY,18.4464804,73.91701189999999,"1st Floor, Bandal Empire, Wadachi Wadi Rd, near Aero Nest Society, Shree Siddhivinayak Meera, Undri, Pune, Maharashtra 411060, India",4.9,180,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",096979 89305,https://shivmangalhospital.com/#/,True,0.85,3024.4115631318746,1,1,2026-04-08T12:54:52.336977
Welfare multi-speciality hospital,"jagdamba chowk, next to gagan cefiro, behind Ambekar hotel, Undri, Pune, Maharashtra 411060, India",General,establishment,ChIJyVG6HtbrwjsROLD-nqxRQis,18.4483269,73.9109531,"jagdamba chowk, next to gagan cefiro, behind Ambekar hotel, Undri, Pune, Maharashtra 411060, India",5.0,35,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",095112 95983,,True,0.7999999999999999,3074.113474737133,1,0,2026-04-08T12:54:53.269057
AYUSH HOSPITAL,"Shop no. 4 shivaprasad complex, in front of dharmavat petrol pump, Pisoli, Pune, Maharashtra 411060, India",General,establishment,ChIJ8xCZyk7qwjsR0FqVUug8eNQ,18.449276,73.9045424,"Shop no. 4 shivaprasad complex, in front of dharmavat petrol pump, Pisoli, Pune, Maharashtra 411060, India",4.9,74,True,"['Monday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20091:00\u202fPM']",090962 42346,,True,0.7999999999999999,3167.7920627174044,1,0,2026-04-08T12:54:53.570222
