name,location,specialty,facility_type,place_id,latitude,longitude,vicinity,rating,reviews,is_open_now,opening_hours,phone_number,website,emergency_facility,response_probability,distance_from_center,has_phone,has_website,collected_at
Mukundrao Lele Hospital,"GV93+XP5, Shaniwar Peth, Pune, Maharashtra 411030, India",General,establishment,ChIJX6TVOWXAwjsRV9hVtttnnYk,18.5198803,73.8543558,"GV93+XP5, Shaniwar Peth, Pune, Maharashtra 411030, India",3.8,16,False,"['Monday: 3:30\u2009–\u20094:30\u202fAM, 9:30\u2009–\u200911:00\u202fAM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: Closed', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:01\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",,,True,0.5,114.42364775373001,0,0,2026-04-08T12:47:42.853935
Krishna Medical Store,"KEM Hospital Opp.Pune Station., Dhayari, Shobhapur, Kasba Peth, Pune, Maharashtra 411011, India",General,establishment,ChIJN2XFp2XAwjsRRSBCsYgpItA,18.52043,73.856744,"KEM Hospital Opp.Pune Station., Dhayari, Shobhapur, Kasba Peth, Pune, Maharashtra 411011, India",0.0,0,False,[],089833 36916,,True,0.6,169.1110012513761,1,0,2026-04-08T12:47:56.111150
Timpac Engineers,"2b, Amoll Apartment, Late GA Kulkarni Path, opposite Karishma Kothud, Bhavani Peth, Shobhapur, Kasba Peth, Pune, Maharashtra 411011, India",General,establishment,ChIJYWXFp2XAwjsRGbINaRkO0wc,18.5205081,73.8567695,"2b, Amoll Apartment, Late GA Kulkarni Path, opposite Karishma Kothud, Bhavani Peth, Shobhapur, Kasba Peth, Pune, Maharashtra 411011, India",0.0,0,False,[],020 2579 4064,,True,0.6,176.19915997509332,1,0,2026-04-08T12:47:50.947017
Childrens Hospital agarwal,"3rd Floor, Sinhagad Road, Manik Baug, Aboce Anandi Dining Hall, Manik Baug, Dhayari, Shobhapur, Kasba Peth, Pune, Maharashtra 411011, India",General Practice,doctor,ChIJq6qq6ti-wjsRnpaHbXYi0k4,18.5205081,73.8567695,"3rd Floor, Sinhagad Road, Manik Baug, Aboce Anandi Dining Hall, Manik Baug, Dhayari, Shobhapur, Kasba Peth, Pune, Maharashtra 411011, India",0.0,0,False,[],020 2435 6786,,True,0.6,176.19915997509332,1,0,2026-04-08T12:47:54.038646
Surya Sahyadri Hospital Kasaba Peth,"1317, near Shaniwar Peth Road, Lunanagar, Wada, Kasba Peth, Pune, Maharashtra 411011, India",General,establishment,ChIJCzvk_GTAwjsRrHGmRsa64IY,18.5212633,73.8558358,"1317, near Shaniwar Peth Road, Lunanagar, Wada, Kasba Peth, Pune, Maharashtra 411011, India",4.4,698,True,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",088888 22222,https://sahyadrihospital.com/kasba-peth/,True,0.85,190.57285863672786,1,1,2026-04-08T12:48:02.327200
Mks genius mind,"GV93+8FW, Raja Thakur Rd, Hasabnis Bakhal, Shaniwar Peth, Pune, Maharashtra 411030, India",General,establishment,ChIJ4wy6VGXAwjsRMIwXk5KWqVA,18.5183502,73.8537163,"GV93+8FW, Raja Thakur Rd, Hasabnis Bakhal, Shaniwar Peth, Pune, Maharashtra 411030, India",5.0,1,False,[],,,True,0.5,225.45060938065257,0,0,2026-04-08T12:47:56.348668
Dhanwantari clinic Dr. Yogesh Vaishampayan,"Sathe appartments, 401, near Ahilya Devi High school, Shaniwar Peth, Pune, Maharashtra 411030, India",General,establishment,ChIJvZro6nrAwjsRpt-oSFjo-XA,18.5179309,73.8516732,"Sathe appartments, 401, near Ahilya Devi High school, Shaniwar Peth, Pune, Maharashtra 411030, India",4.9,48,True,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:30\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:30\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:30\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:30\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 6:30\u2009–\u20099:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",090284 63779,https://www.facebook.com/dhanwantariclinic?mibextid=ZbWKwL,True,0.85,434.56898871707693,1,1,2026-04-08T12:47:56.647981
ERSF,"280, Shirole Galli, Gaothan, Shivajinagar, Pune, Maharashtra 411005, India",General,establishment,ChIJa9DQZXvAwjsRrLw7XWCzWog,18.5230767,73.851805,"280, Shirole Galli, Gaothan, Shivajinagar, Pune, Maharashtra 411005, India",5.0,1,False,[],,http://ersf.org.uk/,True,0.55,541.4102551837386,0,1,2026-04-08T12:47:57.010811
Homeopathic Hospitals,"GV82+MFV, Prabhune Rd, Narayan Peth, Pune, Maharashtra 411030, India",General Practice,doctor,ChIJB9TLZnDAwjsRtJNFGKif4is,18.5167363,73.851169,"GV82+MFV, Prabhune Rd, Narayan Peth, Pune, Maharashtra 411030, India",5.0,2,False,[],,,True,0.5,548.0948051293675,0,0,2026-04-08T12:47:46.427306
Sangam Hospital - Raviwar Peth,"Shop No, 775, Ganesh Rd, Raviwar Peth, Pune, Maharashtra 411011, India",General,establishment,ChIJHUjTHmbAwjsRchc-th7gUSM,18.5189888,73.86061049999999,"Shop No, 775, Ganesh Rd, Raviwar Peth, Pune, Maharashtra 411011, India",0.0,0,False,"['Monday: 9:00\u2009–\u200911:00\u202fAM, 1:00\u2009–\u20092:30\u202fPM, 8:00\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u2009–\u200911:00\u202fAM, 1:00\u2009–\u20092:30\u202fPM, 8:00\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u2009–\u200911:00\u202fAM, 1:00\u2009–\u20092:30\u202fPM, 8:00\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u2009–\u200911:00\u202fAM, 1:00\u2009–\u20092:30\u202fPM, 8:00\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u2009–\u200911:00\u202fAM, 1:00\u2009–\u20092:30\u202fPM, 8:00\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u2009–\u200911:00\u202fAM, 1:00\u2009–\u20092:30\u202fPM', 'Sunday: Closed']",020 2445 9462,http://sangamhospital.in/,True,0.65,553.56669211829,1,1,2026-04-08T12:47:55.020547
